Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_118,VDD,Metal1,69.7200,70.5600,5.000000
FILLER_16_116,VDD,Metal1,68.8800,70.5600,5.000000
FILLER_16_112,VDD,Metal1,67.5800,70.1275,5.000000
FILLER_16_104,VDD,Metal1,64.3465,69.9830,5.000000
FILLER_16_101,VDD,Metal1,60.2000,70.5600,5.000000
FILLER_16_93,VDD,Metal1,58.1865,69.9830,5.000000
FILLER_16_76,VDD,Metal1,46.2000,70.5600,5.000000
FILLER_16_74,VDD,Metal1,45.3600,70.5600,5.000000
FILLER_16_70,VDD,Metal1,44.0600,70.1275,5.000000
FILLER_16_36,VDD,Metal1,33.1555,69.7910,5.000000
FILLER_16_2,VDD,Metal1,14.1155,69.7910,5.000000
FILLER_15_118,VDD,Metal1,69.7200,62.7200,4.999991
FILLER_15_116,VDD,Metal1,68.8800,62.7200,4.999991
FILLER_15_112,VDD,Metal1,67.5800,63.1525,4.999991
FILLER_15_104,VDD,Metal1,64.3465,63.2965,4.999991
FILLER_15_72,VDD,Metal1,53.3155,63.4885,4.999991
FILLER_15_66,VDD,Metal1,41.8200,63.1525,4.999991
FILLER_15_2,VDD,Metal1,23.1150,63.5340,4.999991
FILLER_14_115,VDD,Metal1,69.2600,62.2875,4.999991
FILLER_14_107,VDD,Metal1,66.0265,62.1430,4.999991
FILLER_14_101,VDD,Metal1,61.4200,62.2875,4.999991
FILLER_14_37,VDD,Metal1,42.7150,61.9055,4.999991
FILLER_14_34,VDD,Metal1,22.6800,62.7200,4.999991
FILLER_14_18,VDD,Metal1,18.5280,62.0280,4.999991
FILLER_13_118,VDD,Metal1,69.7200,54.8800,4.999935
FILLER_13_116,VDD,Metal1,68.8800,54.8800,4.999935
FILLER_13_112,VDD,Metal1,67.5800,55.3125,4.999935
FILLER_13_104,VDD,Metal1,64.3465,55.4565,4.999935
FILLER_13_72,VDD,Metal1,53.3155,55.6485,4.999935
FILLER_13_68,VDD,Metal1,42.0000,54.8800,4.999935
FILLER_13_64,VDD,Metal1,40.7000,55.3125,4.999935
FILLER_13_56,VDD,Metal1,37.4665,55.4565,4.999935
FILLER_13_24,VDD,Metal1,26.4355,55.6485,4.999935
FILLER_12_115,VDD,Metal1,69.2600,54.4475,4.999935
FILLER_12_107,VDD,Metal1,66.0265,54.3030,4.999935
FILLER_12_89,VDD,Metal1,58.2880,54.1880,4.999935
FILLER_12_51,VDD,Metal1,32.2000,54.8800,4.999935
FILLER_12_47,VDD,Metal1,31.1800,54.4475,4.999935
FILLER_12_34,VDD,Metal1,22.6800,54.8800,4.999935
FILLER_12_32,VDD,Metal1,21.8400,54.8800,4.999935
FILLER_12_2,VDD,Metal1,4.7600,54.8800,4.999936
FILLER_11_87,VDD,Metal1,57.1680,47.7320,4.999792
FILLER_10_115,VDD,Metal1,69.2600,46.6075,4.999792
FILLER_10_107,VDD,Metal1,66.0265,46.4630,4.999792
FILLER_10_104,VDD,Metal1,61.8800,47.0400,4.999792
FILLER_10_102,VDD,Metal1,61.0400,47.0400,4.999792
FILLER_10_37,VDD,Metal1,24.6400,47.0400,4.999793
FILLER_10_23,VDD,Metal1,16.5200,47.0400,4.999823
FILLER_9_117,VDD,Metal1,69.4400,39.2000,4.999796
FILLER_9_101,VDD,Metal1,65.0080,39.8920,4.999796
FILLER_9_57,VDD,Metal1,35.5600,39.2000,4.999796
FILLER_9_55,VDD,Metal1,34.7200,39.2000,4.999796
FILLER_9_47,VDD,Metal1,32.4265,39.7765,4.999796
FILLER_9_31,VDD,Metal1,25.8080,39.8920,4.999797
FILLER_8_115,VDD,Metal1,69.2600,38.7675,4.999796
FILLER_8_107,VDD,Metal1,66.0265,38.6230,4.999796
FILLER_8_103,VDD,Metal1,61.6000,39.2000,4.999796
FILLER_8_95,VDD,Metal1,59.3065,38.6230,4.999796
FILLER_8_89,VDD,Metal1,53.7600,39.2000,4.999796
FILLER_8_37,VDD,Metal1,24.6400,39.2000,4.999797
FILLER_8_31,VDD,Metal1,22.2200,38.7675,4.999797
FILLER_7_99,VDD,Metal1,60.3000,31.7925,4.999972
FILLER_7_83,VDD,Metal1,54.9280,32.0520,4.999972
FILLER_7_58,VDD,Metal1,36.1200,31.3600,4.999979
FILLER_7_50,VDD,Metal1,34.1065,31.9365,4.999979
FILLER_7_39,VDD,Metal1,25.7600,31.3600,4.999980
