Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_3_30,VSS,Metal1,20.4400,19.6000,0.000161
FILLER_3_26,VSS,Metal1,18.6600,19.2510,0.000161
FILLER_3_18,VSS,Metal1,15.1730,19.1380,0.000161
FILLER_3_2,VSS,Metal1,8.3520,19.0520,0.000161
FILLER_2_115,VSS,Metal1,68.5000,12.1085,0.000020
FILLER_2_107,VSS,Metal1,65.0130,12.2215,0.000020
FILLER_2_104,VSS,Metal1,61.8800,11.7600,0.000020
FILLER_2_96,VSS,Metal1,58.8530,12.2215,0.000020
FILLER_2_80,VSS,Metal1,52.0320,12.3080,0.000020
FILLER_2_49,VSS,Metal1,31.3600,11.7600,0.000018
FILLER_2_45,VSS,Metal1,29.3000,12.1085,0.000018
FILLER_2_37,VSS,Metal1,25.8130,12.2215,0.000018
FILLER_2_34,VSS,Metal1,22.6800,11.7600,0.000018
FILLER_2_2,VSS,Metal1,12.7640,12.3575,0.000018
FILLER_1_118,VSS,Metal1,69.7200,11.7600,0.000020
FILLER_1_116,VSS,Metal1,68.8800,11.7600,0.000020
FILLER_1_112,VSS,Metal1,66.8200,11.4110,0.000020
FILLER_1_104,VSS,Metal1,63.3330,11.2980,0.000020
FILLER_1_72,VSS,Metal1,51.9640,11.1620,0.000020
FILLER_1_69,VSS,Metal1,42.2800,11.7600,0.000020
FILLER_1_67,VSS,Metal1,41.4400,11.7600,0.000020
FILLER_1_50,VSS,Metal1,31.6400,11.7600,0.000018
FILLER_1_34,VSS,Metal1,26.2720,11.2120,0.000018
FILLER_1_2,VSS,Metal1,12.7640,11.1620,0.000018
FILLER_0_118,VSS,Metal1,69.7200,3.9200,0.000000
FILLER_0_116,VSS,Metal1,68.8800,3.9200,0.000000
FILLER_0_112,VSS,Metal1,66.8200,4.2685,0.000000
FILLER_0_104,VSS,Metal1,63.3330,4.3815,0.000000
FILLER_0_70,VSS,Metal1,50.8440,4.5175,0.000000
FILLER_0_36,VSS,Metal1,27.3920,4.4680,0.000000
FILLER_0_2,VSS,Metal1,12.7640,4.5175,0.000000
clkload0,VSS,Metal1,35.0800,51.4175,0.000097
clkbuf_1_1__f_clk_i,VSS,Metal1,47.4535,43.7180,0.000184
clkbuf_1_0__f_clk_i,VSS,Metal1,37.1060,20.1980,0.000161
clkbuf_0_clk_i,VSS,Metal1,40.1735,35.8780,0.000244
output11,VSS,Metal1,51.0830,66.9605,0.000000
output10,VSS,Metal1,65.3965,50.6390,0.000099
output9,VSS,Metal1,65.3965,34.9590,0.000244
output8,VSS,Metal1,37.0830,4.2405,0.000000
output7,VSS,Metal1,36.5230,11.4390,0.000020
output6,VSS,Metal1,9.0830,34.9590,0.000182
output5,VSS,Metal1,9.0830,42.7990,0.000168
output4,VSS,Metal1,9.0830,58.4790,0.000018
output3,VSS,Metal1,9.0830,59.1205,0.000018
input2,VSS,Metal1,8.8365,50.6390,0.000086
input1,VSS,Metal1,8.8365,43.4405,0.000168
TAP_TAPCELL_ROW_16_61,VSS,Metal1,61.0400,67.1090,0.000000
TAP_TAPCELL_ROW_16_60,VSS,Metal1,42.0000,67.1090,0.000000
TAP_TAPCELL_ROW_16_59,VSS,Metal1,22.9600,67.1090,0.000000
TAP_TAPCELL_ROW_15_58,VSS,Metal1,43.1200,66.1705,0.000000
TAP_TAPCELL_ROW_14_57,VSS,Metal1,62.7200,59.2690,0.000017
TAP_TAPCELL_ROW_14_56,VSS,Metal1,23.5200,59.2690,0.000017
TAP_TAPCELL_ROW_13_55,VSS,Metal1,43.1200,58.3305,0.000017
TAP_TAPCELL_ROW_12_54,VSS,Metal1,62.7200,51.4290,0.000099
TAP_TAPCELL_ROW_12_53,VSS,Metal1,23.5200,51.4290,0.000097
TAP_TAPCELL_ROW_11_52,VSS,Metal1,43.1200,50.4905,0.000099
TAP_TAPCELL_ROW_10_51,VSS,Metal1,62.7200,43.5890,0.000184
TAP_TAPCELL_ROW_10_50,VSS,Metal1,23.5200,43.5890,0.000169
TAP_TAPCELL_ROW_9_49,VSS,Metal1,43.1200,42.6505,0.000184
TAP_TAPCELL_ROW_8_48,VSS,Metal1,62.7200,35.7490,0.000244
TAP_TAPCELL_ROW_8_47,VSS,Metal1,23.5200,35.7490,0.000221
TAP_TAPCELL_ROW_7_46,VSS,Metal1,43.1200,34.8105,0.000244
TAP_TAPCELL_ROW_6_45,VSS,Metal1,62.7200,27.9090,0.000049
TAP_TAPCELL_ROW_6_44,VSS,Metal1,23.5200,27.9090,0.000039
TAP_TAPCELL_ROW_5_43,VSS,Metal1,43.1200,26.9705,0.000048
TAP_TAPCELL_ROW_4_42,VSS,Metal1,62.7200,20.0690,0.000161
TAP_TAPCELL_ROW_4_41,VSS,Metal1,23.5200,20.0690,0.000160
TAP_TAPCELL_ROW_3_40,VSS,Metal1,43.1200,19.1305,0.000161
TAP_TAPCELL_ROW_2_39,VSS,Metal1,62.7200,12.2290,0.000020
TAP_TAPCELL_ROW_2_38,VSS,Metal1,23.5200,12.2290,0.000018
TAP_TAPCELL_ROW_1_37,VSS,Metal1,43.1200,11.2905,0.000020
TAP_TAPCELL_ROW_0_36,VSS,Metal1,61.0400,4.3890,0.000000
TAP_TAPCELL_ROW_0_35,VSS,Metal1,42.0000,4.3890,0.000000
TAP_TAPCELL_ROW_0_34,VSS,Metal1,22.9600,4.3890,0.000000
PHY_EDGE_ROW_16_Left_33,VSS,Metal1,3.9130,67.1100,0.000000
PHY_EDGE_ROW_15_Left_32,VSS,Metal1,3.9130,66.1700,0.000000
PHY_EDGE_ROW_14_Left_31,VSS,Metal1,3.9130,59.2700,0.000018
PHY_EDGE_ROW_13_Left_30,VSS,Metal1,3.9130,58.3300,0.000018
