Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_162,VSS,Metal1,94.6400,90.1600,0.000014
FILLER_22_154,VSS,Metal1,91.3330,90.6215,0.000014
FILLER_22_138,VSS,Metal1,84.5120,90.7080,0.000014
FILLER_22_104,VSS,Metal1,69.8840,90.7575,0.000014
FILLER_22_36,VSS,Metal1,31.8040,90.7575,0.000013
FILLER_22_2,VSS,Metal1,12.7640,90.7575,0.000013
FILLER_21_162,VSS,Metal1,94.6400,90.1600,0.000014
FILLER_21_158,VSS,Metal1,92.5800,89.8110,0.000014
FILLER_21_142,VSS,Metal1,86.7520,89.6120,0.000014
FILLER_21_136,VSS,Metal1,80.2600,89.8110,0.000014
FILLER_21_72,VSS,Metal1,60.8845,89.5220,0.000014
FILLER_21_66,VSS,Metal1,41.0600,89.8110,0.000013
FILLER_21_2,VSS,Metal1,21.6845,89.5220,0.000013
FILLER_20_163,VSS,Metal1,94.9200,82.3200,0.000000
FILLER_20_155,VSS,Metal1,91.8930,82.7815,0.000000
FILLER_20_139,VSS,Metal1,85.0720,82.8680,0.000000
FILLER_20_107,VSS,Metal1,71.5640,82.9175,0.000000
FILLER_20_101,VSS,Metal1,60.6600,82.6685,0.000000
FILLER_20_37,VSS,Metal1,41.2845,82.9575,0.000000
FILLER_20_34,VSS,Metal1,22.6800,82.3200,0.000000
FILLER_20_2,VSS,Metal1,12.7640,82.9175,0.000000
FILLER_19_162,VSS,Metal1,94.6400,82.3200,0.000000
FILLER_19_158,VSS,Metal1,92.5800,81.9710,0.000000
FILLER_19_142,VSS,Metal1,86.7520,81.7720,0.000000
FILLER_19_136,VSS,Metal1,80.2600,81.9710,0.000000
FILLER_19_72,VSS,Metal1,60.8845,81.6820,0.000000
FILLER_19_66,VSS,Metal1,41.0600,81.9710,0.000000
FILLER_19_2,VSS,Metal1,21.6845,81.6820,0.000000
FILLER_18_163,VSS,Metal1,94.9200,74.4800,0.000000
FILLER_18_155,VSS,Metal1,91.8930,74.9415,0.000000
FILLER_18_139,VSS,Metal1,85.0720,75.0280,0.000000
FILLER_18_107,VSS,Metal1,71.5640,75.0775,0.000000
FILLER_18_101,VSS,Metal1,60.6600,74.8285,0.000000
FILLER_18_37,VSS,Metal1,41.2845,75.1175,0.000000
FILLER_18_34,VSS,Metal1,22.6800,74.4800,0.000000
FILLER_18_2,VSS,Metal1,12.7640,75.0775,0.000000
FILLER_17_162,VSS,Metal1,94.6400,74.4800,0.000000
FILLER_17_158,VSS,Metal1,92.5800,74.1310,0.000000
FILLER_17_142,VSS,Metal1,86.7520,73.9320,0.000000
FILLER_17_136,VSS,Metal1,80.2600,74.1310,0.000000
FILLER_17_72,VSS,Metal1,60.8845,73.8420,0.000000
FILLER_17_66,VSS,Metal1,41.0600,74.1310,0.000000
FILLER_17_2,VSS,Metal1,21.6845,73.8420,0.000000
FILLER_16_163,VSS,Metal1,94.9200,66.6400,0.000042
FILLER_16_155,VSS,Metal1,91.8930,67.1015,0.000042
FILLER_16_139,VSS,Metal1,85.0720,67.1880,0.000042
FILLER_16_107,VSS,Metal1,71.5640,67.2375,0.000042
FILLER_16_104,VSS,Metal1,61.8800,66.6400,0.000042
FILLER_16_100,VSS,Metal1,60.1000,66.9885,0.000042
FILLER_16_92,VSS,Metal1,56.6130,67.1015,0.000038
FILLER_16_60,VSS,Metal1,45.2440,67.2375,0.000037
FILLER_16_47,VSS,Metal1,29.9600,66.6400,0.000036
FILLER_16_45,VSS,Metal1,29.1200,66.6400,0.000036
FILLER_16_37,VSS,Metal1,25.8130,67.1015,0.000034
FILLER_16_34,VSS,Metal1,22.6800,66.6400,0.000034
FILLER_16_18,VSS,Metal1,17.3120,67.1880,0.000035
FILLER_15_146,VSS,Metal1,85.6800,66.6400,0.000042
FILLER_15_142,VSS,Metal1,83.6200,66.2910,0.000042
FILLER_15_139,VSS,Metal1,81.4800,66.6400,0.000042
FILLER_15_135,VSS,Metal1,79.7000,66.2910,0.000042
FILLER_15_127,VSS,Metal1,76.2130,66.1780,0.000042
FILLER_15_96,VSS,Metal1,57.6800,66.6400,0.000038
FILLER_15_92,VSS,Metal1,55.6200,66.2910,0.000038
FILLER_15_84,VSS,Metal1,52.1330,66.1780,0.000037
FILLER_15_74,VSS,Metal1,45.0800,66.6400,0.000037
FILLER_15_72,VSS,Metal1,44.2400,66.6400,0.000037
FILLER_15_66,VSS,Metal1,41.0600,66.2910,0.000037
FILLER_15_38,VSS,Metal1,24.9200,66.6400,0.000034
FILLER_15_34,VSS,Metal1,23.1400,66.2910,0.000034
FILLER_15_18,VSS,Metal1,17.3120,66.0920,0.000035
FILLER_14_147,VSS,Metal1,85.9600,58.8000,0.000108
FILLER_14_145,VSS,Metal1,85.1200,58.8000,0.000108
FILLER_14_113,VSS,Metal1,74.9240,59.3975,0.000108
FILLER_14_107,VSS,Metal1,63.8400,58.8000,0.000108
FILLER_14_98,VSS,Metal1,58.8000,58.8000,0.000106
FILLER_14_67,VSS,Metal1,41.4400,58.8000,0.000102
FILLER_14_37,VSS,Metal1,24.3600,58.8000,0.000096
FILLER_14_34,VSS,Metal1,22.6800,58.8000,0.000088
FILLER_14_18,VSS,Metal1,17.3120,59.3480,0.000088
FILLER_13_162,VSS,Metal1,94.6400,58.8000,0.000108
FILLER_13_158,VSS,Metal1,92.5800,58.4510,0.000108
FILLER_13_142,VSS,Metal1,86.7520,58.2520,0.000108
FILLER_13_136,VSS,Metal1,80.2600,58.4510,0.000108
FILLER_13_128,VSS,Metal1,76.7730,58.3380,0.000108
FILLER_13_72,VSS,Metal1,43.9600,58.8000,0.000106
FILLER_13_69,VSS,Metal1,42.2800,58.8000,0.000102
FILLER_13_65,VSS,Metal1,40.5000,58.4510,0.000102
FILLER_13_34,VSS,Metal1,22.9600,58.8000,0.000088
FILLER_13_2,VSS,Metal1,12.7640,58.2020,0.000088
FILLER_12_163,VSS,Metal1,94.9200,50.9600,0.000337
FILLER_12_147,VSS,Metal1,89.5520,51.5080,0.000337
FILLER_12_115,VSS,Metal1,76.0440,51.5575,0.000337
FILLER_12_104,VSS,Metal1,61.8800,50.9600,0.000337
FILLER_12_43,VSS,Metal1,27.7200,50.9600,0.000326
FILLER_12_41,VSS,Metal1,26.8800,50.9600,0.000305
