Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_34,VDD,Metal1,22.6800,54.8800,4.999816
FILLER_12_2,VDD,Metal1,14.1155,54.1110,4.999817
FILLER_11_162,VDD,Metal1,94.6400,47.0400,4.999565
FILLER_11_158,VDD,Metal1,93.3400,47.4725,4.999565
FILLER_11_142,VDD,Metal1,87.9680,47.7320,4.999565
FILLER_11_124,VDD,Metal1,77.8880,47.7320,4.999565
FILLER_11_72,VDD,Metal1,44.2400,47.0400,4.999566
FILLER_11_55,VDD,Metal1,35.6600,47.4725,4.999659
FILLER_11_46,VDD,Metal1,29.4000,47.0400,4.999678
FILLER_11_42,VDD,Metal1,28.3800,47.4725,4.999678
FILLER_11_34,VDD,Metal1,25.1465,47.6165,4.999678
FILLER_11_2,VDD,Metal1,14.1155,47.8085,4.999697
FILLER_10_163,VDD,Metal1,94.9200,47.0400,4.999565
FILLER_10_161,VDD,Metal1,94.0800,47.0400,4.999565
FILLER_10_157,VDD,Metal1,92.7800,46.6075,4.999565
FILLER_10_104,VDD,Metal1,61.8800,47.0400,4.999565
FILLER_10_76,VDD,Metal1,46.2000,47.0400,4.999567
FILLER_10_60,VDD,Metal1,42.0480,46.3480,4.999568
FILLER_10_53,VDD,Metal1,33.6000,47.0400,4.999676
FILLER_10_37,VDD,Metal1,29.1680,46.3480,4.999676
FILLER_10_34,VDD,Metal1,22.6800,47.0400,4.999696
FILLER_10_2,VDD,Metal1,14.1155,46.2710,4.999697
FILLER_9_146,VDD,Metal1,85.6800,39.2000,4.999929
FILLER_9_142,VDD,Metal1,84.3800,39.6325,4.999929
FILLER_9_138,VDD,Metal1,81.2000,39.2000,4.999929
FILLER_9_122,VDD,Metal1,76.7680,39.8920,4.999929
FILLER_9_85,VDD,Metal1,53.7065,39.7765,4.999939
FILLER_9_76,VDD,Metal1,46.2000,39.2000,4.999942
FILLER_9_72,VDD,Metal1,45.1800,39.6325,4.999942
FILLER_9_69,VDD,Metal1,42.2800,39.2000,4.999942
FILLER_9_52,VDD,Metal1,32.7600,39.2000,4.999942
FILLER_9_50,VDD,Metal1,31.9200,39.2000,4.999944
FILLER_9_34,VDD,Metal1,27.4880,39.8920,4.999944
FILLER_9_2,VDD,Metal1,14.1155,39.9685,4.999947
FILLER_8_144,VDD,Metal1,85.5000,38.7675,4.999929
FILLER_8_136,VDD,Metal1,82.2665,38.6230,4.999929
FILLER_8_103,VDD,Metal1,61.6000,39.2000,4.999938
FILLER_8_78,VDD,Metal1,47.3200,39.2000,4.999942
FILLER_8_45,VDD,Metal1,30.0600,38.7675,4.999944
FILLER_8_37,VDD,Metal1,26.8265,38.6230,4.999944
FILLER_8_34,VDD,Metal1,22.6800,39.2000,4.999947
FILLER_8_2,VDD,Metal1,14.1155,38.4310,4.999947
FILLER_7_162,VDD,Metal1,94.6400,31.3600,4.999960
FILLER_7_158,VDD,Metal1,93.3400,31.7925,4.999960
FILLER_7_142,VDD,Metal1,87.9680,32.0520,4.999960
FILLER_7_139,VDD,Metal1,81.4800,31.3600,4.999960
FILLER_7_131,VDD,Metal1,79.4665,31.9365,4.999960
FILLER_7_90,VDD,Metal1,54.3200,31.3600,4.999963
FILLER_7_85,VDD,Metal1,51.2400,31.3600,4.999963
FILLER_7_72,VDD,Metal1,43.9600,31.3600,4.999963
FILLER_7_66,VDD,Metal1,41.8200,31.7925,4.999963
FILLER_7_2,VDD,Metal1,23.1150,32.1740,4.999964
FILLER_6_163,VDD,Metal1,94.9200,31.3600,4.999960
FILLER_6_155,VDD,Metal1,92.9065,30.7830,4.999960
FILLER_6_139,VDD,Metal1,86.2880,30.6680,4.999960
FILLER_6_107,VDD,Metal1,72.9155,30.5910,4.999960
FILLER_6_104,VDD,Metal1,61.8800,31.3600,4.999960
FILLER_6_102,VDD,Metal1,61.0400,31.3600,4.999961
FILLER_6_94,VDD,Metal1,58.7465,30.7830,4.999961
FILLER_6_61,VDD,Metal1,39.0200,30.9275,4.999964
FILLER_6_53,VDD,Metal1,35.7865,30.7830,4.999964
FILLER_6_37,VDD,Metal1,29.1680,30.6680,4.999964
FILLER_6_34,VDD,Metal1,22.6800,31.3600,4.999964
FILLER_6_2,VDD,Metal1,14.1155,30.5910,4.999964
FILLER_5_162,VDD,Metal1,94.6400,23.5200,5.000000
FILLER_5_158,VDD,Metal1,93.3400,23.9525,5.000000
FILLER_5_142,VDD,Metal1,87.9680,24.2120,5.000000
FILLER_5_136,VDD,Metal1,81.0200,23.9525,5.000000
FILLER_5_72,VDD,Metal1,62.3150,24.3340,5.000000
FILLER_5_66,VDD,Metal1,41.8200,23.9525,5.000000
FILLER_5_2,VDD,Metal1,23.1150,24.3340,5.000000
FILLER_4_163,VDD,Metal1,94.9200,23.5200,5.000000
FILLER_4_155,VDD,Metal1,92.9065,22.9430,5.000000
FILLER_4_139,VDD,Metal1,86.2880,22.8280,5.000000
FILLER_4_107,VDD,Metal1,72.9155,22.7510,5.000000
FILLER_4_101,VDD,Metal1,61.4200,23.0875,5.000000
FILLER_4_37,VDD,Metal1,42.7150,22.7055,5.000000
FILLER_4_34,VDD,Metal1,22.6800,23.5200,5.000000
FILLER_4_2,VDD,Metal1,14.1155,22.7510,5.000000
FILLER_3_162,VDD,Metal1,94.6400,15.6800,5.000000
FILLER_3_158,VDD,Metal1,93.3400,16.1125,5.000000
FILLER_3_142,VDD,Metal1,87.9680,16.3720,5.000000
FILLER_3_136,VDD,Metal1,81.0200,16.1125,5.000000
FILLER_3_72,VDD,Metal1,62.3150,16.4940,5.000000
FILLER_3_66,VDD,Metal1,41.8200,16.1125,5.000000
FILLER_3_2,VDD,Metal1,23.1150,16.4940,5.000000
FILLER_2_163,VDD,Metal1,94.9200,15.6800,5.000000
FILLER_2_155,VDD,Metal1,92.9065,15.1030,5.000000
FILLER_2_139,VDD,Metal1,86.2880,14.9880,5.000000
FILLER_2_107,VDD,Metal1,72.9155,14.9110,5.000000
FILLER_2_101,VDD,Metal1,61.4200,15.2475,5.000000
FILLER_2_37,VDD,Metal1,42.7150,14.8655,5.000000
FILLER_2_34,VDD,Metal1,22.6800,15.6800,5.000000
FILLER_2_2,VDD,Metal1,14.1155,14.9110,5.000000
FILLER_1_162,VDD,Metal1,94.6400,7.8400,5.000000
FILLER_1_158,VDD,Metal1,93.3400,8.2725,5.000000
FILLER_1_142,VDD,Metal1,87.9680,8.5320,5.000000
FILLER_1_139,VDD,Metal1,81.4800,7.8400,5.000000
FILLER_1_137,VDD,Metal1,80.6400,7.8400,5.000000
FILLER_1_133,VDD,Metal1,79.3400,8.2725,5.000000
FILLER_1_125,VDD,Metal1,76.1065,8.4165,5.000000
FILLER_1_93,VDD,Metal1,65.0755,8.6085,5.000000
FILLER_1_76,VDD,Metal1,46.2000,7.8400,5.000000
FILLER_1_72,VDD,Metal1,45.1800,8.2725,5.000000
FILLER_1_66,VDD,Metal1,41.8200,8.2725,5.000000
FILLER_1_2,VDD,Metal1,23.1150,8.6540,5.000000
FILLER_0_162,VDD,Metal1,94.6400,7.8400,5.000000
